| Bandai Playdia | Github Archive | Download Link | Amount of Files | Size |
| Bandai Wonderswan | Github Archive | Download Link | Amount of Files | Size |
| Coleco Adam | Github Archive | Download Link | Amount of Files | Size |
| Coleco Vision | Github Archive | Download Link | Amount of Files | Size |
| Magnavox | Github Archive | Download Link | Amount of Files | Size |
| Microsoft xBox ISOs | Github Archive | Download Link | Amount of Files | Size |
| Neo Geo CD ISOs | Github Archive | Download Link | Amount of Files | Size |
| Nintendo | Github Archive | Download Link | Amount of Files | Size |
| Panasonic 3DO | Github Archive | Download Link | Amount of Files | Size |
| PC Engine CD - Turbo Duo - TurboGrafx-CD | Github Archive | Download Link | Amount of Files | Size |
| PC Engine - TurboGrafx-16 | Github Archive | Download Link | Amount of Files | Size |
| PC-FX | Github Archive | Download Link | Amount of Files | Size |
| Philips CD-i | Github Archive | Download Link | Amount of Files | Size |
| RetroArch | Github Archive | Download Link | Amount of Files | Size |
| Sega | Github Archive | Download Link | Amount of Files | Size |
| Sony | Github Archive | Download Link | Amount of Files | Size |
